,FLAG,Avg min between sent tnx,Avg min between received tnx,Sent tnx,Received Tnx,Number of Created Contracts,Unique Received From Addresses,Unique Sent To Addresses,min value received,max value received ,avg val received,min val sent,max val sent,avg val sent,total Ether sent,total ether received, ERC20 total Ether received, ERC20 total ether sent, ERC20 total Ether sent contract, ERC20 uniq sent addr, ERC20 uniq rec addr, ERC20 uniq rec contract addr, ERC20 min val rec
0,0,844.26,1093.71,721,89,0,40,118,0.0,45.806785,6.589513,0.0,31.22,1.2006809999999999,865.6910932,586.4666748,35588543.78,35603169.52,0.0,30.0,54.0,58.0,0.0
1,0,12709.07,2958.44,94,8,0,5,14,0.0,2.613269,0.385685,0.0,1.8,0.032844,3.08729702,3.0854782089999997,403.42830539999994,2.260809454,0.0,1.0,5.0,7.0,0.0
2,0,246194.54,2434.02,2,10,0,10,2,0.11311900000000001,1.165453,0.358906,0.05,3.538616,1.7943080000000002,3.58861565,3.58905665,521.5120705,0.0,0.0,0.0,7.0,8.0,0.0
3,0,10219.6,15785.09,25,9,0,7,13,0.0,500.0,99.48884,0.0,450.0,70.001834,1750.0458620000006,895.399559,17111.05191,11412.23068,0.0,2.0,11.0,11.0,0.0
4,0,36.61,10707.77,4598,20,1,7,19,0.0,12.802411,2.671095,0.0,9.0,0.022688,104.3188828,53.421896499999995,162829.6609,123539.9329,0.0,4.0,23.0,27.0,0.0
5,0,9900.12,375.48,2,3,0,2,1,0.7241479999999999,4.813776,3.2349080000000003,4.1668,5.5369160000000015,4.851858,9.70371586,9.70472386,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,69.46,629.44,25,11,0,9,20,0.049,2.65,1.098115,0.009457,4.284785,0.482496,12.062394099999999,12.079266,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0,1497.39,176.84,213,5,0,3,3,0.11849000000000001,2.0,0.891098,0.0,0.7,0.040861,8.703392156,4.45548974,397.95196400000003,0.0,0.0,0.0,5.0,7.0,0.0
8,0,0.0,0.0,1,1,0,1,1,2.0,2.0,2.0,1.99938,1.99938,1.99938,1.99938,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0,2570.59,3336.01,8,3,0,2,4,0.1,40.0,16.7,0.1,40.0,18.634625,149.077,50.1,600.0,0.0,0.0,0.0,1.0,1.0,600.0
10,0,32.45,12921.57,10,10,0,2,1,1.000052,1.014875,1.0048190000000001,0.9990879999999999,1.01417,1.004055,10.04055439,10.04819041,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0,3716.41,1448.09,8,246,0,4,3,0.11806099999999999,81.38600000000002,3.3813129999999996,0.01,300.0,103.974875,831.799,831.8030477000003,6193.025913,0.0,0.0,0.0,7.0,8.0,0.0
12,0,0.0,12431.27,0,16,1,4,0,0.0,1.002069,0.769166,0.0,0.0,0.0,0.0,12.30665958,0.18128366399999998,0.0,0.0,0.0,2.0,2.0,0.07536699999999999
13,0,9520.7,5776.32,7,2,0,2,4,0.095,0.26515900000000003,0.180079,0.0,0.133441,0.037563,0.262941117,0.36015854,8.001,0.0,0.0,0.0,2.0,2.0,0.001
14,0,14106.66,3742.82,32,24,0,11,21,0.0,1499.9995800000006,77.125266,0.0,1100.0,102.312148,3273.988723,1851.0063760000005,139827.7923,133086.5,0.0,4.0,23.0,26.0,0.0
15,0,757.91,11.08,34,3,1,3,13,0.09184400000000001,1.0,0.530615,0.0,0.933444,0.044268,1.5051029580000002,1.591844363,0.0,5e-06,0.0,3.0,0.0,0.0,0.0
16,0,3.13,4923.24,57,57,0,2,2,0.016037,0.27768899999999996,0.204013,0.015616999999999999,0.277269,0.203593,11.6048114,11.6287514,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0,27681.45,11171.03,26,11,0,6,15,0.09,34.94,16.564688,0.0,34.9,9.896423,257.307,182.2115661,308440.3104,307097.3104,0.0,4.0,8.0,7.0,0.0
18,0,770.29,3.82,3,2,0,1,3,7.772,19.995,13.8835,3.7,20.082772,9.255225999999999,27.765677,27.767,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0,163.78,1.11,2,2,0,2,2,44.048882,56.95111800000001,50.5,0.61,100.388974,50.499487,100.9989738,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0,0.0,6324.45,0,18,1,5,0,0.0,12.782766,5.662421,0.0,0.0,0.0,0.0,101.9235724,4.983578382,0.0,0.0,0.0,2.0,2.0,2.0
21,0,725.77,41108.66,7,7,0,4,3,0.0,17.949074,8.407243,2.0,30.950276000000002,22.44176400000001,157.09235049999995,58.85070376,0.0,0.0,0.0,0.0,1.0,1.0,0.0
22,0,91.14,64.3,5,4,0,4,5,0.5,5.0,2.1875,0.377203,2.8512869999999997,1.7495509999999999,8.747754943,8.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0,2477.34,6928.28,8,126,0,1,2,0.013556,0.501254,0.34266599999999997,0.1,2.0,1.2625,10.1,43.17587621,2765.749578,100.0,0.0,1.0,9.0,15.0,0.0
24,0,0.0,13339.9,0,17,1,6,0,0.0,11.291416,4.860215,0.0,0.0,0.0,0.0,82.62366163,4.8041210219999995,0.0,0.0,0.0,3.0,3.0,0.920501
25,0,0.0,0.0,1,1,0,1,1,4.999,4.999,4.999,4.99774,4.99774,4.99774,4.99774,4.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0,1797.42,60933.08,82,3,0,3,7,0.0,30.0,11.666667,0.0,30.0,0.760256,62.341,35.0,1473.843474,0.0,0.0,0.0,8.0,11.0,0.0
27,0,0.0,0.0,1,1,0,1,1,0.5476489999999999,0.5476489999999999,0.5476489999999999,0.546389,0.546389,0.546389,0.54638892,0.54764892,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0,155.22,112602.93,4,3,0,3,3,0.0,2.3371560000000002,1.512385,2.0,2.379635,2.104909,8.419634776,4.5371564000000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0,14626.26,6594.93,59,14,0,7,34,0.00979,1100.0,167.979641,0.0,500.0,43.052269,2540.083853,2351.7149719999998,1555219.09,1545239.0280000004,0.0,12.0,26.0,23.0,0.0
30,0,0.0,5498.63,0,53,1,4,0,0.0,1.002204,0.504895,0.0,0.0,0.0,0.0,26.75944516,0.55819781,0.0,0.0,0.0,2.0,2.0,0.10587
31,0,3.33,51068.75,10,11,0,8,1,0.022663,20.799,5.11114,0.923126,20.797915,5.621492,56.21491815,56.22253457,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0,1128.56,0.0,2,1,0,1,2,1.7479810000000002,1.7479810000000002,1.7479810000000002,0.0,0.0,0.0,0.0,1.74798122,327.9083121000001,0.0,0.0,0.0,8.0,9.0,0.0
33,0,2152.95,680.22,10,2,0,1,6,0.05,0.1,0.075,0.0,0.060734,0.011073000000000001,0.110734264,0.15,1e-12,1.0000000000000001e-11,0.0,1.0,1.0,1.0,0.0
34,0,0.0,648.26,0,694,1,4,0,0.0,22.0,1.618731,0.0,0.0,0.0,0.0,1123.399095,0.532864637,0.0,0.0,0.0,2.0,2.0,0.082576
35,0,45.91,58.88,5970,2989,0,1337,2212,0.0,3140.99958,74.622817,0.0,3900.0,37.84572100000001,225938.9558,223047.6014,139793.7886,137260.2674,0.0,21.0,295.0,15.0,0.0
