FLAG,Avg min between sent tnx,Avg min between received tnx,Sent tnx,Received Tnx,Number of Created Contracts,Unique Received From Addresses,Unique Sent To Addresses,min value received,max value received ,avg val received,min val sent,max val sent,avg val sent,total Ether sent,total ether received, ERC20 total Ether received, ERC20 total ether sent, ERC20 total Ether sent contract, ERC20 uniq sent addr, ERC20 uniq rec addr, ERC20 uniq rec contract addr, ERC20 min val rec
0,0.8522734522555786,0.8725455669265151,0.9179179179179179,0.7942942942942943,0.0,0.8888888888888888,0.9569569569569569,0.4184184184184184,0.8983600935646201,0.7491307462358103,0.0,0.8999143980363195,0.6767639862253856,0.9082619248567064,0.8977266342542078,0.9540213660528063,0.9668801857852158,0.0,0.970970970970971,0.9524524524524525,0.9664664664664664,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49649649649649646,0.0,0.0,0.0,0.5635635635635636,0.5645645645645645,0.0
0,0.4932889800023208,0.4874770225666736,0.9826074345969875,0.9769051919535527,0.0,0.5830830830830831,0.34034034034034033,0.37003519827947307,0.6671623526194154,0.20708765787711905,0.4081091949944409,0.6686484974728978,0.31524834701767185,0.8740449727002702,0.8643236728553918,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.8973738044063685,0.0,0.34234234234234234,0.9289289289289289,0.4294294294294294,0.0,0.0,0.24422591270740118,0.2687046607218785,0.0,0.0,0.0,0.0,0.17507305060375647,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.6483626483626483,0.3188188188188188,0.4239239239239239,0.34234234234234234,0.0,0.4294294294294294,0.5540540540540541,0.8713209247749414,0.7222716510035955,0.8178178178178178,0.9079470663260367,0.8198072812695707,0.9049049049049049,0.7867867867867868,0.7062062062062062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.16016016016016016,0.0,0.19119119119119118,0.0,0.5026918330715036,0.10368191129072614,0.12585356609743908,0.0,0.0,0.0,0.0,0.09809464122103628,0.49649649649649646,0.0,0.0,0.0,0.5635635635635636,0.5645645645645645,0.0
0,0.9274089419789796,0.9135250882404626,0.7322322322322322,0.48348348348348347,0.0,0.5830830830830831,0.8508508508508509,0.4924924924924925,0.6493934235767792,0.6940662146210147,0.38738738738738737,0.6248856909164616,0.6417302697595196,0.6219971307407276,0.5352207197186981,0.810505028619461,0.0,0.0,0.0,0.8648648648648649,0.8568568568568569,0.0
1,0.0,0.941234435063288,0.0,0.5455455455455456,0.9289289289289289,0.5830830830830831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49649649649649646,0.0,0.0,0.0,0.5635635635635636,0.5645645645645645,0.0
0,0.8468085268071754,0.8353794093523113,0.8023023023023023,0.7212212212212212,0.0,0.8678678678678678,0.34034034034034033,0.34184184184184185,0.575414203036342,0.5033729220369001,0.5736274139406117,0.5832385152119445,0.5544130981342268,0.6136136951710218,0.52748451643252,0.6559969106318783,0.0,0.0,0.0,0.7277277277277278,0.7282282282282282,0.8307713407614831
0,0.6434459792857048,0.0,0.4239239239239239,0.16016016016016016,0.0,0.19119119119119118,0.5540540540540541,0.924924924924925,0.8523523523523524,0.9069069069069069,0.79005683790539,0.8465281678588025,0.9049049049049049,0.7867867867867868,0.7062062062062062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
